tipo,autonomia,provincia,matricula,causa,poblacion,fechahora_ini,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud, cluster
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-11-02 08:14:48,Blanco,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-11-02 08:14:48,Blanco,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-31 08:46:37,Blanco,AP-68,52,53,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-31 07:51:15,Blanco,AP-68,64,64,ZARAGOZA,-2.91497,42.74139,111
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-30 08:20:00,Blanco,AP-68,60,60,ZARAGOZA,-2.90772,42.77201,31
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-30 09:02:38,Blanco,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-30 08:20:00,Blanco,AP-68,60,60,ZARAGOZA,-2.90772,42.77201,31
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-27 15:53:55,Blanco,AP-68,61,61,ZARAGOZA,-2.90134,42.76451,89
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-27 08:44:11,Blanco,AP-68,59,59,ZARAGOZA,-2.90581,42.7806,31
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-26 15:15:26,Blanco,N-1,326,326,IRÚN,-2.875459,42.71062,5
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-26 09:36:27,Blanco,AP-68,58,58,ZARAGOZA,-2.89953,42.78738,-1
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-26 15:15:26,Blanco,N-1,326,326,IRÚN,-2.875459,42.71062,5
Obras,Euskadi,ARABA,VI,Obras,Zambrana,2006-10-26 09:42:19,Blanco,AP-68,69,69,BILBAO,-2.90099,42.70471,81
